id,ingredient_name,unit_price,reference_unit,reference_quantity,updated_at,capacity,unit,supplier_id,unit_column
10a6df4d-d8b6-4356-9db3-19054c01ad98,冷凍ﾗｳﾞｨｵﾘ卵生地トリュフ　250ｇ,980.0,,,2025-10-12T16:56:42.998532+00:00,1.0,個,ec953775-a219-4546-93a8-dc14d0f7d487,0.00
582fbc90-08cd-4593-9a72-f34cf3c85c2f,リコッタチーズ　（ブスタッファ）,880.0,,,2025-10-12T16:56:42.998537+00:00,250.0,g,ec953775-a219-4546-93a8-dc14d0f7d487,0.00
8b960342-2cbf-4f17-aee0-628b635b5079,サワークリーム,850.0,,,2025-10-12T16:56:42.998538+00:00,1.0,個,ec953775-a219-4546-93a8-dc14d0f7d487,0.00
f76be5a8-1928-4e7a-aaf0-e39805702a1a,日本リッチ　NPコーンペースト,680.0,,,2025-10-12T16:56:42.99854+00:00,500.0,g,ec953775-a219-4546-93a8-dc14d0f7d487,0.00
bdec50f3-a14b-4793-9834-3f19cf54dc03,パーチバター（無塩）よつ葉,918.0,,,2025-10-12T16:56:42.998544+00:00,1.0,個,6753bab5-57d9-4aff-9a43-df9b8e421771,30.00
2599e6e2-28de-4f16-ac0e-4a6b0ac015cc,ＢＬＡＮＣ１８　１Ｌ,883.0,,,2025-10-12T16:56:42.998546+00:00,1.0,個,6753bab5-57d9-4aff-9a43-df9b8e421771,12.00
c1f5c1fb-757e-4473-a795-e6ee6cd98e13,北海道フレッシュクリーム３８％　１Ｌ,1166.0,,,2025-10-12T16:56:42.998547+00:00,1.0,個,6753bab5-57d9-4aff-9a43-df9b8e421771,1.00
a27e69a9-6825-4f0e-9d75-98a88ce47dd9,アサヒ ドライゼロ 小瓶 334ML,167.0,,,2025-10-12T16:56:42.998552+00:00,334.0,ml,7c948479-c622-4517-9111-c4549f8bcae9,30.00
2d880b13-b1e2-4ec8-84f3-3ef9704b2c4b,シーソルトフレーク　スモーク,1100.0,,,2025-10-12T16:56:42.998553+00:00,1.0,個,ec953775-a219-4546-93a8-dc14d0f7d487,0.00
b5574155-75d2-4ecd-909b-2c4e1d23ce14,オニオンソテーダイス　30％,740.0,,,2025-10-12T16:56:42.998554+00:00,1000.0,g,ec953775-a219-4546-93a8-dc14d0f7d487,0.00
2fe958c3-4b28-4c42-91c9-2e62ab39b596,ジュリアーノ　トリュフパウダー,1240.0,,,2025-10-12T16:56:42.998556+00:00,30.0,g,ec953775-a219-4546-93a8-dc14d0f7d487,1.00
544573c0-271f-4349-9c4c-0fd4b7e05421,オススメ鮮魚情報,220.0,,,2025-10-12T16:56:42.998557+00:00,1.0,個,9638ff97-626b-453e-bde5-578fa7287fe6,0.00
4bd51f55-8636-4480-8f68-befc177f87d0,カボス,200.0,,,2025-10-12T16:56:42.998559+00:00,1.0,個,22456047-e055-4bd1-877d-13f087aea740,0.00
7f5832ba-7034-4409-b642-de53025ff3fb,レモン,75.0,,,2025-10-12T16:56:42.998561+00:00,1.0,個,22456047-e055-4bd1-877d-13f087aea740,0.00
7be9c77c-0aa5-4bfa-97dd-865be23b3940,レモンタイム,250.0,,,2025-10-12T16:56:42.998562+00:00,1.0,個,22456047-e055-4bd1-877d-13f087aea740,0.00
34b6a052-84a0-4b53-8d4b-7f7b24caaed3,アサヒ  スーパードライ  中　500ML,288.0,,,2025-10-12T16:56:42.998563+00:00,500.0,ml,7c948479-c622-4517-9111-c4549f8bcae9,1.00
6b10597e-ec3c-4375-a3ef-8578a59e67f2,BIFACE（DESPAGNE）,1680.0,,,2025-10-12T16:56:42.998565+00:00,750.0,ml,d6fc7258-de14-46e3-8b9f-fa50a02742d1,0.00
78fe5908-b40f-457c-9828-8d0e92c5896a,CH.ラトゥール　マルティヤック　ブラン　１１,5480.0,,,2025-10-12T16:56:42.998566+00:00,1.0,個,e1e0d9b6-e8af-4e32-918b-683d611ac225,0.00
1d5ebe2f-b292-42e7-b599-b2fed4a4e22c,ＮＥＷサワークリーム　２００ｇ,470.0,,,2025-10-12T16:56:42.998567+00:00,1.0,個,6753bab5-57d9-4aff-9a43-df9b8e421771,12.00
9340a061-a25e-443b-b2d4-e3b1179399e4,牛乳,245.0,,,2025-10-12T16:56:42.998569+00:00,1.0,個,6753bab5-57d9-4aff-9a43-df9b8e421771,12.00
e42ebd33-3c4d-4c9d-a9bf-7f960eda68ef,野〆スズキ　３枚卸し,1800.0,,,2025-10-12T16:56:42.998571+00:00,3.0,枚,9638ff97-626b-453e-bde5-578fa7287fe6,0.00
3d05f269-98a0-4fbd-b477-44ead8a8a347,三祐　パルマラット　マスカルポーネ,1230.0,,,2025-10-12T16:56:42.998572+00:00,1.0,個,ec953775-a219-4546-93a8-dc14d0f7d487,1.00
f0cb594f-6fb2-4815-b4d9-081fd9687984,アルカン　ブリ・ド・モー　AOP,3580.0,,,2025-10-12T16:56:42.998573+00:00,1.0,個,ec953775-a219-4546-93a8-dc14d0f7d487,0.00
fc0efafc-d5d7-46b5-9060-6a6ffae8fdb2,ファインラップ,290.0,,,2025-10-12T16:56:42.998578+00:00,1.0,個,ec953775-a219-4546-93a8-dc14d0f7d487,1.00
20795a06-7a43-439f-889b-e90a214d0777,業務用プロ用リードペーパー,700.0,,,2025-10-12T16:56:42.998579+00:00,100.0,枚,ec953775-a219-4546-93a8-dc14d0f7d487,1.00
9a6a3a93-f4ef-4502-a852-d834b2c3d9bf,ペパーミント,260.0,,,2025-10-12T16:56:42.998581+00:00,1.0,個,22456047-e055-4bd1-877d-13f087aea740,0.00
68d28f8e-93c9-4a3d-b3fc-3f9d6d1ae37a,マグレカナール,2.9,,,2025-10-12T16:56:42.998583+00:00,1.0,個,ec953775-a219-4546-93a8-dc14d0f7d487,1.00
b10fc753-13b0-49e1-9c0d-bebae8bb2fd9,ベビーリーフ,300.0,,,2025-10-12T16:56:42.998584+00:00,1.0,個,22456047-e055-4bd1-877d-13f087aea740,0.00
5bc244fa-1098-49b4-ab72-1c4a63e3ccb4,トマト　バラ,120.0,,,2025-10-12T16:56:42.998586+00:00,1.0,個,22456047-e055-4bd1-877d-13f087aea740,0.00
d37ea272-037a-4336-855e-87ad9aa6a63c,アボカド,230.0,,,2025-10-12T16:56:42.998587+00:00,1.0,個,22456047-e055-4bd1-877d-13f087aea740,0.00
909a8f64-b23e-40d3-82ca-84f64dabc56d,ヴァンダル　ゴーツブラッド　 2023,2280.0,,,2025-10-12T16:56:42.998589+00:00,750.0,ml,4e01f0c8-a2de-4275-b574-cc9fecf6075d,12.00
7ec04863-0066-472b-8179-a21c056ad256,トゥーリバーズ　ザ・スプリングス　シャルドネ　2021,3300.0,,,2025-10-12T16:56:42.99859+00:00,750.0,ml,4e01f0c8-a2de-4275-b574-cc9fecf6075d,12.00
bb62bc06-40ce-49dc-a013-57794dfda219,ネクタイ,220.0,,,2025-10-12T16:56:42.998592+00:00,1.0,個,ba13382f-0f67-4b87-96b1-5b36aa7d01e7,0.00
26ad6d27-8214-4035-a666-d0fa94dadad8,KURIクリティント（赤ワイン）,1680.0,,,2025-10-12T16:56:42.998593+00:00,3000.0,ml,ec953775-a219-4546-93a8-dc14d0f7d487,1.00
a561d666-6108-426e-9352-996570319ed4,KULクリブランコ白ワイン,1680.0,,,2025-10-12T16:56:42.998595+00:00,3000.0,ml,ec953775-a219-4546-93a8-dc14d0f7d487,1.00
b6e165ab-dbf6-41d6-a9ad-72c212470e04,スエヒロ　オガタン（B）　炭,2710.0,,,2025-10-12T16:56:42.998596+00:00,1.0,個,ec953775-a219-4546-93a8-dc14d0f7d487,1.00
a98dea05-af9a-475f-9658-dbd74ad4444d,ミツカン　サンキストレモン　100％,485.0,,,2025-10-12T16:56:42.998597+00:00,500.0,ml,ec953775-a219-4546-93a8-dc14d0f7d487,1.00
23222670-694c-48a9-9c6b-bbed3617b487,エシャレット,1200.0,,,2025-10-12T16:56:42.998598+00:00,1.0,個,22456047-e055-4bd1-877d-13f087aea740,0.00
0a4c4664-a177-4afb-81ca-c4305e764577,E-殺菌・漂白剤,880.0,,,2025-10-12T16:56:42.9986+00:00,1.0,個,ec953775-a219-4546-93a8-dc14d0f7d487,1.00
be004f6d-0459-4650-85d6-361facc03362,伯方焼塩,430.0,,,2025-10-12T16:56:42.998601+00:00,1000.0,g,ec953775-a219-4546-93a8-dc14d0f7d487,1.00
